Energy,FastScint
2.589,0.267
2.593,0.284
2.603,0.289
2.619,0.323
2.634,0.356
2.650,0.365
2.657,0.394
2.668,0.411
2.687,0.444
2.714,0.504
2.753,0.602
2.784,0.698
2.815,0.760
2.824,0.791
2.839,0.819
2.880,0.887
2.914,0.931
2.924,0.941
2.940,0.966
2.954,0.960
2.962,0.990
2.970,0.980
2.984,0.990
2.989,0.996
3.001,0.980
3.018,0.969
3.028,0.934
3.037,0.929
3.090,0.803
3.111,0.754
3.144,0.658
3.165,0.594
3.195,0.501
3.229,0.372
3.247,0.309
3.263,0.250
3.285,0.185
3.314,0.106
3.354,0.050
3.385,0.036
3.400,0.008
3.418,0.017
3.435,0.006
3.513,0.016
3.559,0.006
3.635,0.006